Silo Noriap;Tonnage R25 (t);Blé R25 (t);Unéal le + proche;Distance Unéal (km);Doublon Unéal <7km;Ternoveo le + proche;Distance Ternoveo (km);Doublon Ternoveo <7km;Doublon multiple
MARQUISE;11050;8020;MARQUISE;1.11;OUI;VIEILLE-EGLISE;27.35;non;
BAILLEUL;7077;6327;NEUF-BERQUIN;9.64;non;BUSNES;23.23;non;
HOLQUE;6870;6269;CAPPELLE-BROUCK;5.51;OUI;VIEILLE-EGLISE;12.13;non;
FRETHUN;6615;4995;CAFFIERS;7.42;non;VIEILLE-EGLISE;16.98;non;
PIHEM;6611;5496;DELETTES;4.99;OUI;THEROUANNE;6.36;OUI;OUI
SOCX;6074;5708;ESQUELBECQ;6.69;OUI;BIERNE;2.08;OUI;OUI
GUINES;5212;4023;CAFFIERS;4.06;OUI;VIEILLE-EGLISE;14.8;non;
LAMBRES-LEZ-AIRE;5196;4490;AIRE SUR LA LYS;1.52;OUI;BUSNES;9.28;non;
PONT D'ARDRES;4955;4415;CAFFIERS;11.26;non;VIEILLE-EGLISE;8.26;non;
ARMENTIERES;4520;3896;FOURNES-EN-WEPPES;7.19;non;BUSNES;27.39;non;
BOLLEZEELE;4437;4238;LEDERZEELE;6.14;OUI;BIERNE;12.63;non;
LOOBERGHE;3914;3307;DUNKERQUE;6.74;OUI;BIERNE;0.92;OUI;OUI
OYE PLAGE;3670;2769;CAPPELLE-BROUCK;15.0;non;VIEILLE-EGLISE;6.57;OUI;
LEDERZEELE;3156;2683;LEDERZEELE;0.98;OUI;RENESCURE;10.3;non;
LEULINGHEM;2237;1868;ZUDAUSQUES;2.08;OUI;THEROUANNE;12.66;non;
REXPOEDE;2193;2174;HONDSCHOOTE;5.36;OUI;BIERNE;9.96;non;
STEENVOORDE;1974;1852;EECKE;4.95;OUI;RENESCURE;17.73;non;
GONNEHEM;1875;1875;LILLERS;9.01;non;BUSNES;5.19;OUI;
FLEURBAIX;1773;1693;LAVENTIE;6.42;OUI;BUSNES;22.13;non;
ESCALLES;1755;1366;CAFFIERS;9.77;non;VIEILLE-EGLISE;24.28;non;
AUDRUICQ;471;425;CAPPELLE-BROUCK;10.44;non;VIEILLE-EGLISE;3.64;OUI;
COYECQUES;462;462;AUDINCTHUN;3.67;OUI;THEROUANNE;7.33;non;
MERCK-ST-LIEVIN;446;406;SAINT-MARTIN-D-HARDINGHEM;1.97;OUI;THEROUANNE;9.53;non;
BAVINCHOVE;419;419;LYNDE;7.75;non;RENESCURE;6.84;OUI;
SANTES NORIAP;302;272;SANTES;1.5;OUI;BUSNES;31.73;non;
BOURBOURG;181;110;CAPPELLE-BROUCK;6.97;OUI;VIEILLE-EGLISE;10.22;non;
BONNINGUES-LES-ARDRES MACHU;51;51;LICQUES;5.48;OUI;VIEILLE-EGLISE;13.43;non;
